80806, BUTTER NAAN, KADAI PANEER, CHE SANDWICH, CHE SANDWICH,
86497, PEPSI MIX, COKE MIX,
87099, BUTTER NAAN, CHILLI CHICKEN,
89222, PULPY ORANGE, CHE SANDWICH,
91153, FRIED MAGGI, COKE MIX,
91832, LAYS / BINGO, FRUIT SHAKE, CHE BURGER,
92928, ALOO PARATHA, COKE MIX,
103393, CHI.PAKODA, PULPY ORANGE,
106645, PULPY ORANGE, COKE MIX,
108971, VEG PATTY, FRUIT SHAKE, ALOO PARATHA, COKE MIX,
108980, VEG PATTY, FRUIT SHAKE,
109502, CHILLI CHICKEN, FRUIT SHAKE,
111468, FRUIT SHAKE, ALOO PARATHA, BUTTER,
111471, ALOO PARATHA, BUTTER,
76986, LAYS / BINGO, COKE MIX,
88543, SAMBHAR VADA, WAFFY,
85628, OREO@30, PULPY ORANGE,
93182, LAYS / BINGO, PEPSI MIX,
95425, LAYS / BINGO, CHE SANDWICH,
97034, LAYS / BINGO, CHE SANDWICH,
82926, GOODAY@20, CHE SANDWICH,
86128, PLAIN MAGGI, COKE CAN,
89117, CHE SANDWICH, BRT CAKES,
95180, LAYS / BINGO, ALOO PARATHA,
112573, EGG RICE, FRUIT SHAKE,
102242, ALOO PARATHA, CHE SANDWICH,
102246, FRUIT SHAKE, IDLY SAMBHAR,
102304, ALOO PARATHA, CHE SANDWICH,
78264, LAYS / BINGO, BOURBON, LITTLE HEARTS, BRT CAKES,
99224, LAYS / BINGO, COKE MIX,
112209, BUTTER NAAN, KADAI PANEER,
83694, COKE CAN, PANEER FRANKY,
83737, LAYS / BINGO, BRT CAKES,
84992, SLICE, CHE BURGER,
87701, LAYS / BINGO, FRUIT SHAKE,
88422, LAYS / BINGO, COKE MIX,
91601, LAYS / BINGO, SLICE,
92007, FRUIT SHAKE, MY CAN,
93929, LAYS / BINGO, FRUIT SHAKE,
96950, CHE SANDWICH, PANEER FRANKY,
97993, LAYS / BINGO, FRUIT SHAKE,
101747, VEG PATTY, PASTRY, PULPY ORANGE,
112285, LAYS / BINGO, FRUIT SHAKE, PANEER FRANKY,
113000, BOURBON, PULPY ORANGE,
114901, LAYS / BINGO, PULPY ORANGE,
90466, COKE CAN, ALOO PARATHA, BUTTER,
111944, BUTTER NAAN, KADAI PANEER,
80830, LAYS / BINGO, FRUIT SHAKE,
94619, MY CAN, CHE SANDWICH,
99292, FRUIT SHAKE, ALOO PARATHA,
103819, BUTTER NAAN, BUTTER CHICKEN,
108453, BUTTER NAAN, KADAI PANEER,
109103, BUTTER NAAN, BUTTER CHICKEN,
115319, ALOO PARATHA, COKE MIX,
76654, PLAIN DOSA, MASALA DOSA, CHILLI CHICKEN,
88236, CHI.RICE, FRUIT SHAKE,
90478, KAJU SHAKE, CHE SANDWICH,
98644, BUTTER NAAN, CHILLI CHICKEN, FRUIT SHAKE, TANGRIKABAB HALF,
102109, CHE SANDWICH, COKE MIX,
105076, BUTTER NAAN, KADAI PANEER, CHILLI CHICKEN, KAJU SHAKE, CHE SANDWICH,
105077, FRUIT SHAKE, COKE MIX,
105100, ALOO PARATHA, COKE MIX,
79311, FRUIT SHAKE, ALOO PARATHA,
80820, PLAIN MAGGI, FRUIT SHAKE,
82704, LAYS / BINGO, FRUIT SHAKE,
84263, FRIED MAGGI, FRUIT SHAKE,
89160, FRUIT SHAKE, CHE SANDWICH,
89977, FRUIT SHAKE, ICE,
91090, FRIED MAGGI, FRUIT SHAKE,
93400, LAYS / BINGO, FIVE STAR@20, FRUIT SHAKE,
96890, LAYS / BINGO, COKE MIX,
99679, LAYS / BINGO, FRUIT SHAKE,
101362, FRUIT SHAKE, CHE SANDWICH,
111304, LAYS / BINGO, FRUIT SHAKE, ALOO PARATHA,
75389, MIX UTTAPAM, EGG RICE, BUTTER NAAN, KADAI PANEER, ICECREAMSHAKE,
78721, ALOO PARATHA, BUTTER, CHE SANDWICH,
81611, BUTTER NAAN, BUTTER CHICKEN, COKE MIX,
88658, CHE SANDWICH, COKE MIX,
95408, ICECREAMSHAKE, CHE SANDWICH,
96031, BUTTER NAAN, BUTTER CHICKEN, ICECREAMSHAKE,
100241, PASTRY, ALOO PARATHA, CHE SANDWICH,
100246, BUTTER NAAN, BUTTER,
100273, ICECREAMSHAKE, ALOO PARATHA, BUTTER,
105482, ALOO PARATHA, BUTTER, PANEER FRANKY,
110351, BUTTER NAAN, PANEER FRANKY,
111571, VEG PATTY, REAL JUICE,
113041, BUTTER NAAN, ICECREAMSHAKE, ALOO PARATHA,
113233, BUTTER NAAN, KADAI PANEER,
77840, CHI PASTA, ALOO PARATHA,
82778, CHI PASTA, PULPY ORANGE, MATKA KULFI,
84578, PULPY ORANGE, YAMAMA, CHE SANDWICH,
90761, BUTTER NAAN, CHILLI CHICKEN,
94982, CHI PASTA, OREO@15, REAL JUICE,
106656, BUTTER NAAN, CHILLI CHICKEN,
107416, PULPY ORANGE, PULPY ORANGE,
109269, MASALA DOSA, ICECREAMSHAKE,
110489, PULPY ORANGE, YAMAMA, CHE BURGER,
113245, VEG RICE, PULPY ORANGE, YAMAMA,
89678, FRUIT SHAKE, FRUIT SHAKE, ALOO PARATHA,
103372, BUTTER NAAN, KADAI PANEER, LAYS / BINGO, WAFFY,
103373, FRUIT SHAKE, COKE MIX,
103411, LAYS / BINGO, FRUIT SHAKE,
103421, BUTTER NAAN, KADAI PANEER,
79114, FRIED MAGGI, LAYS / BINGO, COKE MIX,
82459, LAYS / BINGO, COKE MIX,
83133, VEG PATTY, COKE MIX,
86494, BUTTER NAAN, KADAI PANEER,
86533, CHI.TANDURY 1/2, PEPSI MIX,
87856, LAYS / BINGO, FRUIT SHAKE,
89419, PEPSI MIX, CHE SANDWICH,
91131, LAYS / BINGO, COKE MIX,
94688, PLAIN MAGGI, LAYS / BINGO, PEPSI MIX,
96738, LAYS / BINGO, COKE MIX,
103708, BUTTER NAAN, KADAI PANEER, MATKA KULFI, COKE MIX, PANEER FRANKY,
106174, LAYS / BINGO, CHE SANDWICH, COKE MIX,
111050, BUTTER NAAN, KADAI PANEER,
111129, LAYS / BINGO, COKE MIX,
111948, PLAIN MAGGI, LAYS / BINGO, COKE MIX,
113135, LAYS / BINGO, COKE MIX,
115289, LAYS / BINGO, CHE SANDWICH, COKE MIX,
97086, FIVE STAR@20, WAFFY,
103127, DAIRY MILK, WAFFY,
106939, LAYS / BINGO, WAFFY,
100054, ALOO PARATHA, BUTTER,
80063, FRUIT SHAKE, PANEER FRANKY,
98689, LITTLE HEARTS, CHE SANDWICH,
76594, BUTTER NAAN, BUTTER CHICKEN, PEPSI MIX,
76710, MY CAN, CHE SANDWICH,
84152, MY CAN, CHE SANDWICH, PANEER FRANKY,
87342, PULPY ORANGE, CHE SANDWICH,
91088, CHE SANDWICH, CAPRI SUN,
91197, PLAIN MAGGI, CAPRI SUN,
94728, CHE SANDWICH, PANEER FRANKY, CAPRI SUN,
94839, LAYS / BINGO, CAPRI SUN,
111295, COKE CAN, CHE SANDWICH, PANEER FRANKY,
113944, CHI LOLLIPOP, CHE SANDWICH, COKE MIX,
115080, BUTTER CHICKEN, COKE MIX,
87985, BUTTER NAAN, CHILLI CHICKEN,
95417, PEPSI MIX, CHE SANDWICH,
95421, GOODAY@10, FRUIT SHAKE,
100155, KAJU SHAKE, MAKHANIA LASSI,
110165, BUTTER NAAN, BUTTER CHICKEN,
115064, BUTTER NAAN, BUTTER CHICKEN,
82257, LAYS / BINGO, PEPSI MIX,
84933, PLAIN DOSA, VEG PASTA,
91953, CHILLI CHICKEN, PANEER FRANKY,
99223, LAYS / BINGO, BRT CAKES, COKE MIX,
110853, CHILLI CHICKEN, PANEER FRANKY,
110858, BUTTER NAAN, COKE MIX,
76281, ICECREAMSHAKE, CHE SANDWICH,
77593, GOODAY@20, PULPY ORANGE,
83004, PULPY ORANGE, CHE SANDWICH, COKE MIX,
84599, ALOO PARATHA, PEPSI MIX, CHE SANDWICH, COKE MIX,
85924, PULPY ORANGE, ALOO PARATHA,
87100, PULPY ORANGE, CHE SANDWICH,
89775, PULPY ORANGE, ALOO PARATHA,
91233, PULPY ORANGE, CHE SANDWICH,
94924, ICECREAMSHAKE, ALOO PARATHA, CHE SANDWICH,
98437, PULPY ORANGE, CHE SANDWICH,
99713, PULPY ORANGE, CHE SANDWICH,
92093, VEG PATTY, FRUIT SHAKE,
96763, FRUIT SHAKE, PANEER FRANKY,
89184, FRUIT SHAKE, CHE SANDWICH,
79171, LAYS / BINGO, CHE SANDWICH,
97002, ALOO PARATHA, YAMAMA, BUTTER, CAPRI SUN,
77806, CHI.RICE, ICECREAMSHAKE,
78981, EGG RICE, CHI.TANDURY 1/2, PEPSI MIX,
80306, LITTLE HEARTS, ICECREAMSHAKE,
82737, CHI.TANDURY 1/2, PEPSI MIX,
84114, CHI.RICE, CHE SANDWICH,
92330, EGG RICE, CHI.PAKODA, COKE CAN,
94814, CHI.RICE, LAYS / BINGO, FRUIT SHAKE, ICECREAMSHAKE,
96180, ICECREAMSHAKE, ICECREAMSHAKE, ICE, ICE,
97788, PEPSI MIX, ICE,
98789, BUTTER NAAN, CHILLI PANEER, PULPY ORANGE, ALOO PARATHA,
99075, EGG RICE, CHI.TANDURY 1/2, PEPSI MIX,
101146, EGG RICE, CHI.PAKODA, COKE CAN,
102581, LAYS / BINGO, FRUIT SHAKE,
102802, FRUIT SHAKE, ICECREAMSHAKE, ICE,
108175, LAYS / BINGO, BRT. CAKE,
108694, VEG PATTY, BRT. CAKE,
109332, EGG RICE, CHI.PAKODA,
111181, BRT. CAKE, COKE CAN,
112393, EGG RICE, CHI.PAKODA,
114536, CHI.TANDURY 1/2, BUTTER NAAN,
114603, LAYS / BINGO, COKE MIX,
86037, PLAIN MAGGI, FRUIT SHAKE,
96612, FRUIT SHAKE, CHE SANDWICH,
115081, BUTTER NAAN, CHI LOLLIPOP,
75386, FALUDA KULFI, BARAF KA GOLA /FALUDA,
85130, PULPY ORANGE, CHE BURGER,
85135, LAYS / BINGO, ICECREAMSHAKE,
99550, VEG PATTY, MASALA DOSA, ALOO PARATHA, CHE SANDWICH,
100658, ALOO PARATHA, CHE SANDWICH,
115648, PLAIN MAGGI, CHE SANDWICH,
75490, BUTTER NAAN, KADAI PANEER,
75552, BUTTER NAAN, AMUL KOOL@22,
76427, VEG PATTY, KAJU SHAKE,
90502, BUTTER NAAN, KADAI PANEER, FRIED IDLY, COKE MIX,
102171, FRUIT SHAKE, COKE MIX,
103765, BUTTER NAAN, BUTTER CHICKEN, TANGRIKABAB HALF,
105892, GOODAY@10, DAIRY MILK, ICECREAMSHAKE,
74810, OREO@30, FALUDA KULFI, MATKA KULFI,
76930, BUTTER NAAN, CHILLI PANEER, DAIRY MILK, PEPSI MIX,
76985, LAYS / BINGO, YAMAMA, ICE,
79933, BUTTER NAAN, MATKA KULFI,
104928, VEG PATTY, FRUIT SHAKE,
78540, GOODAY@20, PULPY ORANGE, WAFFY,
91030, PLAIN MAGGI, BOURBON, COKE MIX,
97824, PLAIN MAGGI, PULPY ORANGE, FRUIT SHAKE, ICECREAMSHAKE, ALOO PARATHA,
97835, PLAIN MAGGI, PEPSI MIX,
97859, BOURBON, BRT CAKES,
99092, JAM TREAT, PULPY ORANGE,
101551, CHILLI CHICKEN, BOURBON, PULPY ORANGE, FRUIT SHAKE,
101554, PULPY ORANGE, CAPRI SUN,
101568, PULPY ORANGE, FRUIT SHAKE,
106823, JAM TREAT, PULPY ORANGE, CHE SANDWICH,
109927, FRIED MAGGI, EGG RICE,
109971, OREO@30, PULPY ORANGE, COKE CAN,
90474, PULPY ORANGE, COKE MIX,
91988, COKE MIX, PLAIN NAAN,
97307, COKE MIX, WAFFY,
106862, BUTTER NAAN, BUTTER CHICKEN,
108732, BUTTER NAAN, BUTTER CHICKEN,
91114, BOURBON, COKE MIX,
110507, LITTLE HEARTS, PULPY ORANGE,
113864, BUTTER NAAN, BUTTER CHICKEN,
101845, ALOO PARATHA, BUTTER,
113877, LAYS / BINGO, ALOO PARATHA, REAL JUICE, BUTTER,
101085, BUTTER NAAN, BUTTER CHICKEN,
110741, PLAIN MAGGI, CHI.TANDURY 1/2,
82494, FIVE STAR@20, CHE SANDWICH,
83877, LAYS / BINGO, PANEER FRANKY,
85050, PEPSI MIX, CHE BURGER,
90722, LAYS / BINGO, CHE SANDWICH,
98987, LAYS / BINGO, CHE SANDWICH,
107366, FIVE STAR@20, PULPY ORANGE,
96032, FIVE STAR@20, CHE SANDWICH,
102095, PASTRY, CHE SANDWICH,
102163, BOURBON, DAIRY MILK,
78903, FRUIT SHAKE, CHE SANDWICH,
81498, FRUIT SHAKE, CHE SANDWICH,
84577, FRUIT SHAKE, CHE SANDWICH,
86680, FRUIT SHAKE, CHE SANDWICH,
96425, FRUIT SHAKE, CHE SANDWICH,
105994, PLAIN MAGGI, FRUIT SHAKE, CHE SANDWICH,
106605, FRUIT SHAKE, CHE SANDWICH,
108913, ALOO PARATHA, REAL JUICE, REAL JUICE,
111812, D.MILK, FRUIT SHAKE,
75746, CHI.RICE, COKE MIX,
77219, CHI.RICE, COKE MIX,
79702, CHI.PAKODA, COKE MIX, PANEER FRANKY,
81476, LAYS / BINGO, COKE MIX,
83168, LAYS / BINGO, BRT CAKES, COKE MIX,
83529, COKE MIX, PANEER FRANKY,
85199, ALOO PARATHA, COKE MIX,
87989, CHI.RICE, COKE MIX,
94668, ALOO PARATHA, PANEER FRANKY,
97336, FRUIT SHAKE, ALOO PARATHA,
98238, LAYS / BINGO, LITTLE HEARTS, COKE MIX,
100089, BUTTER NAAN, BUTTER CHICKEN,
103336, COKE MIX, SAMBHAR VADA,
105391, FRUIT SHAKE, COKE MIX,
108541, BRT. CAKE, BOURBON, WAFFY,
109540, ALOO PARATHA, COKE MIX,
110160, FRUIT SHAKE, COKE MIX,
113151, LAYS / BINGO, LITTLE HEARTS, WAFFY,
115062, BUTTER NAAN, BUTTER CHICKEN,
75275, ALOO PARATHA, MY CAN,
75912, PEPSI MIX, YAMAMA,
78644, COKE CAN, PANEER FRANKY,
79417, VEG PATTY, FRUIT SHAKE,
80164, CHI.PAKODA, FRUIT SHAKE, PEPSI MIX,
81106, LITTLE HEARTS, FRUIT SHAKE,
81133, LITTLE HEARTS, PULPY ORANGE, CHE SANDWICH,
82359, BARAF KA GOLA /FALUDA, PANEER FRANKY,
83175, LAYS / BINGO, PULPY ORANGE, FRUIT SHAKE,
83936, FRUIT SHAKE, ALOO PARATHA,
84779, LAYS / BINGO, FRUIT SHAKE, PEPSI MIX,
85423, ALOO PARATHA, MY CAN,
87019, LITTLE HEARTS, FRUIT SHAKE, ALOO PARATHA, PEPSI MIX,
88348, BUTTER NAAN, BUTTER CHICKEN,
90869, FRUIT SHAKE, ALOO PARATHA,
91013, LAYS / BINGO, ICECREAMSHAKE,
92753, CHI.PAKODA, PEPSI MIX, CHE BURGER,
92770, VEG PATTY, FRUIT SHAKE,
94829, FRUIT SHAKE, ALOO PARATHA,
103746, BUTTER NAAN, BUTTER CHICKEN, COKE MIX,
104854, VEG PATTY, FRUIT SHAKE,
107624, LAYS / BINGO, BRT. CAKE, FRUIT SHAKE,
108344, FRUIT SHAKE, ALOO PARATHA,
108572, CHI.TANDURY 1/2, FRUIT SHAKE,
109480, FRUIT SHAKE, ALOO PARATHA,
110093, FRUIT SHAKE, CHE BURGER,
110929, FRIED MAGGI, FRUIT SHAKE,
113339, LAYS / BINGO, YAMAMA,
113348, PLAIN MAGGI, CHE SANDWICH,
114571, BUTTER NAAN, KADAI PANEER,
94444, VEG RICE, FIVE STAR@20, MAKHANIA LASSI,
100123, VEG RICE, SILK, CHE SANDWICH,
100581, VEG RICE, FRUIT SHAKE, COKE MIX,
100683, YAMAMA, WAFFY,
85265, PLAIN MAGGI, MY CAN,
110781, BUTTER NAAN, CHILLI CHICKEN,
81020, FRUIT SHAKE, ICECREAMSHAKE, CHE SANDWICH,
84305, FRUIT SHAKE, ICECREAMSHAKE, PEPSI MIX, CHI LOLLIPOP, CHE SANDWICH,
84311, FRUIT SHAKE, CHE SANDWICH,
84316, CHI.TANDURY 1/2, FRUIT SHAKE, CHE SANDWICH,
84320, ICECREAMSHAKE, COKE MIX,
84370, ICECREAMSHAKE, ALOO PARATHA,
84400, FRUIT SHAKE, CHI LOLLIPOP,
84504, BOURBON, PULPY ORANGE, FRUIT SHAKE, ICE,
84511, LAYS / BINGO, YAMAMA,
84519, COKE CAN, ICE,
94247, CHI.PAKODA, COKE MIX,
107033, ICECREAMSHAKE, PANEER FRANKY,
103886, BUTTER NAAN, KADAI PANEER, REAL JUICE,
106144, BUTTER NAAN, KADAI PANEER,
89340, PULPY ORANGE, CHE SANDWICH,
98690, MASALA DOSA, PEPSI MIX, CHE SANDWICH,
104852, LAYS / BINGO, ALOO PARATHA, COKE MIX,
92480, BUTTER CHICKEN, PLAIN NAAN,
96781, BUTTER NAAN, BUTTER CHICKEN,
84254, FRUIT SHAKE, MATKA KULFI,
97303, ICECREAMSHAKE, ALOO PARATHA,
76484, VEG PATTY, PULPY ORANGE,
78129, VEG PATTY, PULPY ORANGE,
79408, VEG PATTY, PULPY ORANGE,
79446, PULPY ORANGE, BRT CAKES,
79583, CHI.RICE, BUTTER NAAN,
81272, VEG PATTY, PULPY ORANGE,
82371, CHI.RICE, CHE SANDWICH,
83066, VEG PATTY, PULPY ORANGE, ICE,
85781, LAYS / BINGO, BOURBON, BRT CAKES,
86487, VEG PATTY, CHI.RICE,
87806, VEG PATTY, LAYS / BINGO,
112341, VEG PATTY, COKE MIX,
113519, VEG PATTY, PULPY ORANGE, FRUIT SHAKE,
98548, ALOO PARATHA, BUTTER,
100361, FRUIT SHAKE, ICECREAMSHAKE,
74918, PEPSI MIX, MAKHANIA LASSI,
76709, LAYS / BINGO, PEPSI MIX,
77276, PULPY ORANGE, MAKHANIA LASSI,
78635, MAKHANIA LASSI, BRT CAKES,
80023, PEPSI MIX, MAKHANIA LASSI,
81819, LAYS / BINGO, PEPSI MIX, MAKHANIA LASSI,
83596, PEPSI MIX, MAKHANIA LASSI, BRT CAKES,
85285, PEPSI MIX, MAKHANIA LASSI,
86670, PEPSI MIX, MAKHANIA LASSI, BRT CAKES,
87918, LAYS / BINGO, PULPY ORANGE, ALOO PARATHA,
88989, PEPSI MIX, MAKHANIA LASSI,
92747, LAYS / BINGO, PEPSI MIX, MAKHANIA LASSI,
94826, PEPSI MIX, MAKHANIA LASSI,
96813, PEPSI MIX, CAPRI SUN,
98356, PEPSI MIX, MAKHANIA LASSI, BRT CAKES,
99322, ALOO PARATHA, PEPSI MIX, MAKHANIA LASSI,
100824, BRT CAKES, COKE MIX,
102938, MAKHANIA LASSI, COKE MIX,
103918, MAKHANIA LASSI, COKE MIX,
110937, LAYS / BINGO, COKE MIX,
113330, LAYS / BINGO, COKE MIX,
114002, ALOO PARATHA, COKE MIX,
116163, COKE MIX, SAMBHAR VADA,
103377, BOURBON, LITTLE HEARTS,
108959, VEG PATTY, VEG PATTY, LAYS / BINGO, COKE MIX,
112407, BUTTER NAAN, CHILLI PANEER,
76763, ALOO PARATHA, BUTTER, CHE SANDWICH, COKE MIX,
86715, CHE SANDWICH, BRT CAKES,
86822, LAYS / BINGO, FRUIT SHAKE,
83976, CHE SANDWICH, PANEER FRANKY,
90399, BUTTER NAAN, COKE MIX,
95666, BUTTER NAAN, COKE MIX,
97403, VEG PATTY, COKE MIX,
103770, PULPY ORANGE, COKE MIX,
108068, VEG PATTY, COKE MIX,
109610, CHE SANDWICH, PULPY NIMBU,
112286, COKE MIX, PANEER FRANKY,
115838, PULPY ORANGE, COKE MIX,
76376, BOURBON, PULPY ORANGE,
82811, LITTLE HEARTS, CHE SANDWICH,
99306, VEG PATTY, CHE SANDWICH,
99342, VEG PATTY, LITTLE HEARTS,
82862, PULPY ORANGE, CHE SANDWICH,
98303, LAYS / BINGO, PULPY ORANGE,
99301, MASALA DOSA, CHE SANDWICH,
101006, PULPY ORANGE, CHE SANDWICH,
110495, LAYS / BINGO, PULPY ORANGE,
112740, LAYS / BINGO, PULPY ORANGE,
77279, FIVE STAR@20, FRUIT SHAKE,
80953, FRUIT SHAKE, ALOO PARATHA,
83305, GOODAY@20, FRUIT SHAKE,
85371, FRUIT SHAKE, CHE BURGER,
90620, FRUIT SHAKE, ALOO PARATHA,
90741, ALOO PARATHA, KAJU SHAKE,
92089, CHE BURGER, COKE MIX,
76231, FRUIT SHAKE, ALOO PARATHA, CHE SANDWICH, COKE MIX,
77320, MY CAN, CHE SANDWICH,
81458, BUTTER NAAN, BUTTER CHICKEN,
83919, CHILLI CHICKEN, MY CAN,
92907, VEG PATTY, LAYS / BINGO,
102550, CHILLI CHICKEN, COKE CAN,
104319, BUTTER NAAN, CHILLI CHICKEN,
113783, BUTTER NAAN, COKE MIX,
80553, VEG RICE, FRUIT SHAKE,
82382, FRUIT SHAKE, CHE SANDWICH,
83152, LAYS / BINGO, PEPSI MIX,
83338, FRUIT SHAKE, CHE SANDWICH,
83369, FRUIT SHAKE, CHE SANDWICH, COKE MIX,
87656, FRUIT SHAKE, CHE SANDWICH,
87858, LAYS / BINGO, FRUIT SHAKE,
97294, LAYS / BINGO, FRUIT SHAKE,
103866, BUTTER NAAN, BUTTER CHICKEN, ICECREAMSHAKE, CHE BURGER, COKE MIX,
104197, PULPY ORANGE, FRUIT SHAKE, PANEER FRANKY,
104344, PLAIN MAGGI, PULPY ORANGE,
105493, EGG RICE, CHI.RICE, ICECREAMSHAKE, COKE MIX,
105685, VEG RICE, ICECREAMSHAKE, PANEER FRANKY,
106769, FRUIT SHAKE, CHE SANDWICH,
106772, ICECREAMSHAKE, CHE SANDWICH,
106774, FRUIT SHAKE, CHE SANDWICH,
107899, VEG PATTY, FRUIT SHAKE,
108314, FRUIT SHAKE, ALOO PARATHA,
109430, PULPY ORANGE, FRUIT SHAKE, FRUIT SHAKE, CHE SANDWICH,
110246, FRUIT SHAKE, ALOO PARATHA,
110343, BOURBON, COKE CAN,
111490, FRUIT SHAKE, ALOO PARATHA,
114937, FRUIT SHAKE, ALOO PARATHA,
114971, LAYS / BINGO, BOURBON,
115571, BUTTER NAAN, KADAI PANEER, BUTTER CHICKEN, COKE MIX,
116066, FIVE STAR@25, DAIRY MILK@45,
116070, JAM TREAT, BRT CAKES,
116084, PULPY ORANGE, ALOO PARATHA, CHE SANDWICH, CHE SANDWICH,
116136, PULPY ORANGE, COKE MIX,
83237, CHI.RICE, CHE SANDWICH,
86358, ALOO PARATHA, CHI LOLLIPOP,
88390, VEG RICE, CHE SANDWICH,
95704, BUTTER NAAN, BUTTER CHICKEN,
105010, BUTTER NAAN, BUTTER NAAN, BUTTER CHICKEN, CHILLI CHICKEN,
115356, CHI.RICE, COKE MIX,
88434, SLICE, SAMBHAR VADA,
78297, PULPY ORANGE, FRUIT SHAKE,
81845, FRUIT SHAKE, WAFFY,
82024, CHI.RICE, LAYS / BINGO,
105869, CHE SANDWICH, PANEER FRANKY,
80573, CHI.RICE, PANEER FRANKY,
87967, CHI.RICE, ALOO PARATHA, FRIED IDLY,
92263, ALOO PARATHA, COKE MIX, PANEER FRANKY,
94249, ALOO PARATHA, PANEER FRANKY,
101987, FRUIT SHAKE, CHE SANDWICH,
116139, PULPY ORANGE, CHE SANDWICH,
96033, ICECREAMSHAKE, CHE SANDWICH,
102093, PASTRY, CHE SANDWICH,
102162, BOURBON, DAIRY MILK,
94343, ICECREAMSHAKE, ALOO PARATHA,
94387, VEG PASTA, BOURBON,
107817, FRIED MAGGI, ALOO PARATHA,
107853, JAM TREAT, ALOO PARATHA,
92104, KADAI PANEER, PLAIN NAAN,
80557, LAYS / BINGO, CHE BURGER,
82941, LAYS / BINGO, ICECREAMSHAKE, CHE SANDWICH,
84740, VEG PATTY, PULPY ORANGE,
80271, LAYS / BINGO, FRUIT SHAKE,
100188, BUTTER NAAN, KADAI PANEER,
114527, BUTTER NAAN, FRUIT SHAKE,
75717, FRUIT SHAKE, ALOO PARATHA,
82241, CHILLI PANEER, FRUIT SHAKE, ICECREAMSHAKE,
84080, FRUIT SHAKE, KAJU SHAKE, PANEER FRANKY,
87689, ICECREAMSHAKE, ALOO PARATHA,
93594, LAYS / BINGO, ALOO PARATHA,
94872, FRUIT SHAKE, ALOO PARATHA,
98500, FRUIT SHAKE, ALOO PARATHA,
98778, BUTTER NAAN, KADAI PANEER,
116528, PLAIN MAGGI, LAYS / BINGO,
87927, FRUIT SHAKE, ALOO PARATHA,
110598, VEG RICE, CHILLI CHICKEN,
88049, CHI.RICE, BUTTER NAAN,
103934, CHI.RICE, CHE BURGER,
75362, BUTTER NAAN, BUTTER CHICKEN, COKE MIX,
75423, LAYS / BINGO, AMUL KOOL@22,
80877, CHI.RICE, FRUIT SHAKE,
86709, CHI.RICE, FRUIT SHAKE,
86752, GOODAY@20, PEPSI MIX,
87937, LAYS / BINGO, FALUDA KULFI,
96185, LAYS / BINGO, GOODAY@10, FRUIT SHAKE, COKE MIX,
77510, GOODAY@20, BOURBON, DAIRY MILK,
80273, OREO@30, BOURBON, FRUIT SHAKE,
87611, LAYS / BINGO, GOODAY@20, FRUIT SHAKE,
97259, LAYS / BINGO, OREO@30, FRUIT SHAKE,
93367, LAYS / BINGO, FRUIT SHAKE,
93393, PLAIN MAGGI, ICECREAMSHAKE,
93455, ALOO PARATHA, SLICE,
99530, LAYS / BINGO, FRUIT SHAKE,
114440, LAYS / BINGO, FRUIT SHAKE, CHE SANDWICH,
75872, FRUIT SHAKE, CHE SANDWICH,
76439, VEG PATTY, FRUIT SHAKE,
78944, FRUIT SHAKE, CHE SANDWICH,
80428, FRUIT SHAKE, CHE BURGER,
82343, BUTTER NAAN, PEPSI MIX,
90905, BUTTER NAAN, BUTTER CHICKEN,
94896, LAYS / BINGO, FRUIT SHAKE,
106112, CHE SANDWICH, COKE MIX,
106265, BUTTER NAAN, BUTTER CHICKEN,
108520, FRUIT SHAKE, COKE MIX,
110162, LAYS / BINGO, FRUIT SHAKE,
113444, LAYS / BINGO, COKE MIX,
114703, LAYS / BINGO, BOURBON, LITTLE HEARTS,
82994, ICECREAMSHAKE, CHE SANDWICH,
86015, PLAIN MAGGI, ICECREAMSHAKE,
87696, ICECREAMSHAKE, PEPSI MIX, CHE SANDWICH,
93592, VEG PASTA, PEPSI MIX,
94972, CHI PASTA, ICECREAMSHAKE,
95099, ICECREAMSHAKE, CHE SANDWICH,
96469, ICECREAMSHAKE, CHE SANDWICH, COKE MIX,
102489, ICECREAMSHAKE, CHE SANDWICH, COKE MIX,
105657, ICECREAMSHAKE, CHE SANDWICH,
114497, CHILLI CHICKEN, CHE SANDWICH, COKE MIX, COKE MIX,
81848, FRIED MAGGI, PULPY ORANGE, PEPSI MIX,
88074, FRUIT SHAKE, CHE SANDWICH,
101971, FRUIT SHAKE, CHE SANDWICH,
102017, DAIRY MILK, CHE SANDWICH,
105176, BUTTER NAAN, KADAI PANEER,
110846, VEG RICE, CHE SANDWICH, COKE MIX,
115093, BUTTER NAAN, KADAI PANEER,
115142, VEG RICE, BUTTER NAAN,
75182, VEG PASTA, LAYS / BINGO, MY CAN,
109673, LAYS / BINGO, CHE SANDWICH, COKE MIX,
114960, PULPY ORANGE, ALOO PARATHA,
76560, BUTTER NAAN, KADAI PANEER,
78608, D.MILK, COKE MIX,
81797, FRUIT SHAKE, CHE SANDWICH,
86311, D.MILK, FRUIT SHAKE,
91895, VEG PATTY, CHI.RICE, LAYS / BINGO, FRUIT SHAKE,
94736, FRUIT SHAKE, PANEER FRANKY,
102863, LAYS / BINGO, FRUIT SHAKE,
104695, LAYS / BINGO, DAIRY MILK,
105417, PLAIN MAGGI, LAYS / BINGO, PANEER FRANKY,
